province,country,latitude,longitude,category,utc_20200303,utc_20200304,utc_20200305,utc_20200306,utc_20200307,utc_20200308,utc_20200309,utc_20200310,utc_20200311,utc_20200312,utc_20200313,utc_20200314,utc_20200315,utc_20200316,utc_20200317,utc_20200318,utc_20200319,utc_20200320,utc_20200321,utc_20200322,utc_20200323,utc_20200324,utc_20200325,utc_20200326,utc_20200327,utc_20200328,utc_20200329,utc_20200330,utc_20200331,utc_20200401,utc_20200402,utc_20200403,utc_20200404,utc_20200405,utc_20200406,utc_20200407,utc_20200408,utc_20200409,utc_20200410,utc_20200411,utc_20200412,utc_20200413,utc_20200414,utc_20200415,utc_20200416,utc_20200417,utc_20200418,utc_20200419,utc_20200420,utc_20200421,utc_20200422,utc_20200423,utc_20200424,utc_20200425,utc_20200426,utc_20200427,utc_20200428,utc_20200429,utc_20200430,utc_20200501,utc_20200502,utc_20200503,utc_20200504,utc_20200505,utc_20200506,utc_20200507,utc_20200508,utc_20200509,utc_20200510,utc_20200511,utc_20200512,utc_20200513,utc_20200514,utc_20200515,utc_20200516,utc_20200517,utc_20200518,utc_20200519,utc_20200520,utc_20200521,utc_20200522,utc_20200523,utc_20200524,utc_20200525,utc_20200526,utc_20200527,utc_20200528,utc_20200529,utc_20200530,utc_20200531,utc_20200601,utc_20200602,utc_20200603,utc_20200604,utc_20200605,utc_20200606,utc_20200607,utc_20200608,utc_20200609,utc_20200610,utc_20200611,utc_20200612,utc_20200613,utc_20200614,utc_20200615,utc_20200616,utc_20200617,utc_20200618,utc_20200619,utc_20200620,utc_20200621,utc_20200622,utc_20200623,utc_20200624,utc_20200625,utc_20200626,utc_20200627,utc_20200628,utc_20200629,utc_20200630,utc_20200701,utc_20200702,utc_20200703,utc_20200704,utc_20200705,utc_20200706,utc_20200707,utc_20200708,utc_20200709,utc_20200710,utc_20200711,utc_20200712,utc_20200713,utc_20200714,utc_20200715,utc_20200716,utc_20200717,utc_20200718,utc_20200719,utc_20200720,utc_20200721,utc_20200722,utc_20200723,utc_20200724,utc_20200725,utc_20200726,utc_20200727,utc_20200728,utc_20200729,utc_20200730,utc_20200731,utc_20200801,utc_20200802,utc_20200803,utc_20200804,utc_20200805,utc_20200806,utc_20200807,utc_20200808,utc_20200809,utc_20200810,utc_20200811,utc_20200812,utc_20200813,utc_20200814,utc_20200815,utc_20200816,utc_20200817,utc_20200818,utc_20200819,utc_20200820,utc_20200821,utc_20200822,utc_20200823,utc_20200824,utc_20200825,utc_20200826,utc_20200827,utc_20200828,utc_20200829,utc_20200830,utc_20200831,utc_20200901,utc_20200902,utc_20200903,utc_20200904,utc_20200905
Maule,Chile,-35.5972,-71.4887,deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,7,8,8,10,10,10,10,10,10,11,12,12,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,17,17,19,21,24,24,18,18,18,18,19,19,20,23,23,23,24,25,27,32,33,33,33,36,36,39,41,48,48,48,48,53,59,65,70,73,73,78,81,86,91,94,94,94,96,99,125,127,127,131,131,131,135,136,145,154,160,164,164,174,176,178,182,193,193,193,195,197,204,203,203,203,203,215,216,218,219,225,230,230,235,235,241,246,254,254,254,256,261,261,263,263,263,263,266,270,272
Tarapaca,Chile,-20.1637,-69.5463,confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,5,5,5,6,8,10,10,12,13,17,20,21,23,26,29,35,38,46,52,62,62,66,73,81,90,93,104,114,128,134,143,156,164,169,183,198,200,212,272,295,322,339,417,459,485,520,547,578,615,682,779,845,975,1056,1109,1139,1246,1393,1471,1564,1630,1737,1811,1957,2093,2250,2361,2526,2594,2682,2810,2965,3094,3250,3392,3491,3591,3696,3823,4004,4145,4258,4365,4787,4869,4995,5143,5258,5355,5442,5504,5577,5712,5771,5893,5974,6049,6116,6215,6298,6372,6508,6632,6705,6789,6867,6961,7050,7147,7191,7217,7266,7353,7451,7557,7627,7761,7820,7869,7953,8079,8147,8188,8308,8585,8648,8764,8797,8863,8922,8985,9045,9128,9167,9252,9278,9367,9419,9543,9617,9702,9773,9825,9879,9971,10035,10085,10137,10213,10262,10331,10385,10428,10465,10504,10539,10603,10646,10685,10713,10760,10796,10832,10873
Tarapaca,Chile,-20.1637,-69.5463,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5068,5193,5285,5380,5479,5565,5657,5724,5835,5937,6026,6085,6157,6254,6325,6400,6500,6604,6660,6786,6867,6951,7026,7130,7204,7292,7357,7407,7450,7524,7598,7666,7730,7836,7926,7983,8084,8163,8257,8346,8414,8500,8624,8716,8789,8869,8955,9020,9089,9141,9204,9276,9344,9420,9484,9541,9601,9684,9738,9814,9880,9938,10006,10036,10085,10144,10193,10234,10280
Tarapaca,Chile,-20.1637,-69.5463,deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4,4,4,4,5,5,7,7,8,11,12,14,18,21,22,23,28,28,28,30,35,35,35,46,46,48,52,58,58,58,67,68,71,79,80,80,80,84,85,85,88,91,91,91,91,95,96,98,102,102,102,105,107,107,108,111,111,111,115,117,139,140,141,144,144,144,150,150,153,155,159,160,160,162,166,168,170,173,173,173,177,178,180,181,182,182,182,185,185,185,186,186,186,186,191,191,193,193,196,196,196,198,199,199,203,204,204,204,206,207,207
Coquimbo,Chile,-30.7547,-70.9006,confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,6,11,12,13,14,15,18,27,28,30,34,35,44,50,51,52,56,61,61,64,66,66,66,66,68,68,68,68,69,69,70,70,72,73,73,74,74,76,76,77,78,88,91,97,97,100,111,129,135,140,148,153,165,180,187,194,212,239,263,268,281,294,323,338,384,455,482,537,597,628,668,687,718,772,832,898,990,1123,1175,1256,1345,1438,1512,1556,1676,1720,1980,2076,2195,2273,2359,2428,2485,2539,2637,2705,2781,2857,2961,3050,3119,3170,3224,3333,3434,3545,3621,3688,3779,3918,4026,4103,4166,4179,4277,4361,4486,4634,4792,4918,4988,5061,5208,5360,5522,5685,5811,5913,6056,6160,6333,6423,6551,6633,6742,6821,6951,7072,7167,7312,7447,7549,7631,7777,7888,8064,8213,8314,8435,8529,8638,8743,8900,9097,9229,9327,9451,9551,9680,9739,9819,9951,10011,10124,10215,10303,10407
Coquimbo,Chile,-30.7547,-70.9006,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2263,2343,2441,2507,2568,2656,2737,2785,2878,2967,3042,3140,3241,3321,3383,3441,3508,3612,3682,3772,3875,3945,4092,4207,4316,4409,4536,4639,4743,4853,4994,5119,5222,5337,5439,5530,5685,5806,5905,6030,6155,6292,6368,6532,6636,6750,6864,6975,7128,7238,7378,7482,7606,7713,7839,7941,8016,8143,8247,8350,8472,8595,8703,8787,8918,9074,9213,9338,9464
Coquimbo,Chile,-30.7547,-70.9006,deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,5,5,4,5,5,6,7,7,8,10,10,10,12,15,16,16,17,17,17,18,22,23,23,23,23,23,23,24,24,26,26,26,26,27,29,29,31,33,33,33,42,42,49,52,53,54,54,54,59,60,62,62,63,63,63,66,69,74,74,75,75,76,80,81,83,84,86,89,89,93,94,95,98,100,101,101,106,109,112,116,119,119,119,125,126,130,133,136,139,139,143,149,152
Los Lagos,Chile,-42.3008,-73.1054,confirmed,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,8,16,18,20,23,33,36,44,60,63,93,104,128,151,181,203,234,259,276,286,299,325,340,349,364,372,380,385,390,399,412,416,421,424,432,445,454,460,465,473,477,477,481,487,501,513,517,524,525,541,545,548,559,575,592,594,628,633,641,644,647,652,656,666,693,717,727,736,763,781,791,814,822,860,863,863,894,913,926,968,985,1003,1010,1028,1041,1062,1083,1108,1141,1168,1178,1249,1263,1298,1335,1385,1437,1466,1483,1505,1541,1573,1609,1642,1656,1684,1734,1806,1856,1930,1956,1978,2047,2099,2146,2222,2286,2331,2402,2456,2564,2629,2662,2761,2785,2860,2933,3008,3129,3261,3402,3524,3635,3702,3785,3907,4047,4179,4241,4364,4456,4552,4690,4804,4932,5004,5053,5149,5224,5326,5418,5541,5589,5653,5710,5809,5894,5964,6062,6118,6157,6221,6270,6379,6448,6557,6608,6659,6743,6794,6861,6949
Los Lagos,Chile,-42.3008,-73.1054,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,1338,1373,1415,1463,1496,1524,1547,1584,1613,1653,1687,1734,1823,1869,1909,1960,2029,2062,2122,2181,2236,2306,2360,2415,2478,2578,2649,2693,2766,2846,2921,2974,3043,3142,3217,3305,3391,3478,3644,3751,3841,3905,4029,4152,4242,4368,4504,4610,4711,4826,4930,4998,5094,5172,5231,5287,5373,5475,5567,5662,5742,5804,5857,5940,6033,6110,6172,6236
Los Lagos,Chile,-42.3008,-73.1054,deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,5,5,5,5,5,5,6,6,6,6,6,6,7,8,8,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,13,13,13,13,14,14,14,15,17,17,17,18,19,20,20,21,21,21,21,21,21,21,21,21,21,21,22,22,22,23,23,23,24,25,30,32,32,32,32,32,33,33,33,34,34,34,34,36,39,41,42,42,43,43,49,51,52,54,54,54,54,54,56,56,56,57,57,57,60,61,63,63,66,66,66,66,66,67,67,68,68,68,70,72,72
Arica y Parinacota,Chile,-18.594,-69.4785,confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3,3,4,6,6,6,7,12,12,28,41,53,63,75,87,107,115,115,120,124,129,134,142,145,161,170,180,210,239,245,252,265,268,272,279,297,307,308,308,315,318,325,327,337,340,351,351,359,363,368,377,378,398,422,424,453,471,482,498,513,522,541,562,582,588,619,636,654,701,736,782,819,850,874,914,930,967,1011,1062,1109,1139,1156,1218,1239,1295,1325,1371,1420,1443,1473,1511,1549,1611,1649,1685,1713,1776,1832,1889,1949,2006,2087,2119,2179,2273,2322,2395,2467,2562,2638,2735,2840,2936,3012,3056,3188,3291,3350,3482,3627,3727,3862,3939,4060,4159,4257,4343,4450,4525,4584,4662,4727,4825,4911,4988,5138,5241,5334,5451,5512,5595,5692,5779,5848,5899,5935,6004,6083,6167,6210,6290,6330,6375,6419,6482,6538,6599,6666,6721,6746,6808,6862,6912
Arica y Parinacota,Chile,-18.594,-69.4785,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1299,1340,1377,1408,1447,1497,1530,1571,1621,1673,1706,1753,1799,1862,1920,1965,2025,2093,2141,2199,2260,2328,2425,2487,2583,2671,2791,2879,2958,3075,3160,3270,3371,3496,3606,3687,3831,3930,4062,4152,4237,4318,4393,4519,4613,4666,4754,4829,4911,4986,5083,5162,5259,5364,5429,5501,5561,5627,5702,5764,5816,5883,5934,5985,6055,6135,6194,6238,6289
Arica y Parinacota,Chile,-18.594,-69.4785,deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,9,9,8,8,8,10,10,10,10,11,11,11,11,12,12,12,12,12,12,15,16,19,20,20,20,20,20,21,22,22,22,22,22,24,24,26,26,28,28,28,31,32,34,35,36,40,40,40,41,43,46,47,51,51,51,56,58,60,63,68,68,68,73,74,76,77,78,78,78,80,81,82,85,85,85,85,93,95,97,98,100,100,100,104,106,106,107,107,108,108,112,114,115
Atacama,Chile,-27.5572,-70.0157,confirmed,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,5,5,5,5,6,8,10,13,13,13,13,13,13,13,13,13,13,13,13,13,18,21,24,29,35,35,42,43,43,59,67,70,78,80,87,88,117,124,133,134,139,140,143,146,149,157,158,163,168,175,182,182,185,188,197,202,207,215,218,232,236,242,258,269,281,306,339,348,365,389,413,436,448,484,502,561,586,623,650,683,718,747,785,837,887,925,956,1006,1043,1114,1135,1166,1208,1253,1301,1323,1357,1429,1467,1522,1576,1633,1674,1722,1734,1736,1817,1857,1895,1958,1989,2048,2109,2183,2339,2353,2401,2463,2580,2697,2792,2891,3024,3058,3225,3285,3413,3551,3564,3868,3998,4108,4195,4312,4447,4569,4680,4807,4870,4913,4983,5089,5156,5259,5348,5375,5413,5480,5556,5625,5670,5738,5794,5807,5843,5880
Atacama,Chile,-27.5572,-70.0157,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689,732,768,790,822,879,920,959,992,1015,1036,1084,1125,1147,1175,1208,1263,1302,1347,1396,1437,1481,1535,1585,1623,1659,1707,1749,1793,1838,1873,1915,1973,2053,2125,2191,2287,2382,2462,2571,2680,2736,2843,2962,3077,3195,3313,3424,3539,3643,3761,3910,4015,4159,4289,4386,4460,4571,4677,4766,4845,4935,4999,5063,5140,5223,5273,5377,5429
Atacama,Chile,-27.5572,-70.0157,deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,3,5,5,5,5,7,7,9,9,9,9,9,10,10,9,9,9,9,9,9,9,10,10,12,12,12,12,12,12,12,13,13,14,14,16,19,19,19,21,21,21,23,24,26,29,29,29,29,36,37,39,40,40,40,40,46,46,46,46,47,47,47,47,50,51
Araucania,Chile,-38.671,-72.2565,confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,7,9,15,27,40,59,74,111,143,177,205,247,302,343,389,432,477,509,562,612,669,689,712,739,775,795,816,826,882,907,944,972,1045,1092,1113,1142,1184,1203,1216,1236,1251,1273,1293,1295,1314,1328,1331,1352,1362,1385,1403,1418,1454,1466,1482,1495,1536,1564,1587,1606,1639,1666,1680,1715,1737,1774,1808,1857,1883,1916,1954,1989,2060,2071,2111,2141,2173,2182,2288,2321,2377,2410,2445,2488,2535,2579,2645,2675,2728,2775,2815,2864,2897,2920,2969,3009,3027,3037,3064,3105,3128,3172,3212,3231,3246,3267,3324,3369,3399,3453,3472,3482,3505,3538,3557,3595,3604,3615,3651,3666,3687,3702,3724,3747,3774,3782,3806,3852,3878,3902,3947,3978,4023,4049,4097,4123,4164,4208,4235,4254,4314,4344,4365,4397,4437,4455,4490,4528,4564,4610,4639,4662,4705,4736,4771,4833,4882,4906,4922,4962,4989,5003,5046,5086,5119,5150,5185,5228,5288,5349,5398
Araucania,Chile,-38.671,-72.2565,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2880,2922,2955,2983,3010,3037,3064,3081,3115,3147,3185,3216,3234,3270,3306,3338,3368,3404,3402,3445,3474,3503,3538,3546,3567,3577,3593,3612,3632,3655,3678,3708,3727,3753,3782,3812,3851,3892,3925,3980,4004,4036,4057,4105,4139,4172,4216,4248,4280,4302,4330,4362,4389,4423,4461,4490,4520,4579,4621,4639,4673,4711,4743,4781,4829,4867,4897,4926,4953
Araucania,Chile,-38.671,-72.2565,deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,6,7,7,9,13,14,14,15,16,16,17,17,17,20,21,21,22,23,23,23,25,26,26,26,27,29,32,32,32,35,36,36,36,36,36,36,36,36,36,37,38,39,39,41,43,43,44,44,44,44,44,45,45,45,45,45,45,45,47,47,47,47,47,47,47,48,49,31,32,32,33,34,35,36,36,36,36,36,37,38,39,39,39,39,40,40,40,40,41,41,41,41,41,44,44,45,45,45,46,47,47,47,48,48,48,49,49,71,71,71,71,71,71,74,74,76,77,77,77,77,77,78,78,79,79,79,79,81,82,83,83,83,83,83,83,84,85,86,86,86,86,87,88,89,90,92,92,92,93,94,94,94,94,94,94,96,96,96
Nuble,Chile,-36.7226,-71.7622,confirmed,0,0,0,0,0,0,0,0,0,1,2,4,4,12,26,26,28,44,58,64,81,105,111,114,144,172,197,229,245,259,341,370,401,425,474,522,561,571,589,606,613,618,622,634,639,656,667,678,687,694,703,708,715,725,731,741,747,761,768,768,776,786,787,789,791,793,794,801,812,814,826,839,849,885,921,942,985,988,1011,1020,1025,1077,1102,1139,1147,1174,1205,1242,1256,1257,1290,1290,1329,1372,1429,1470,1490,1552,1584,1616,1673,1718,1737,1778,1832,1852,1929,1974,2103,2135,2159,2181,2195,2219,2233,2274,2317,2363,2384,2397,2414,2447,2490,2533,2577,2617,2640,2700,2782,2838,2909,2965,2989,3013,3032,3080,3095,3193,3222,3250,3273,3286,3323,3349,3370,3377,3436,3449,3479,3504,3529,3556,3583,3603,3616,3644,3656,3703,3752,3784,3823,3843,3879,3910,3942,3950,3960,3997,4027,4056,4100,4140,4206,4245,4305,4344,4414,4468,4556,4648,4705,4785,4810,4838,4887,4976,5029
Nuble,Chile,-36.7226,-71.7622,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970,2021,2078,2136,2165,2200,2232,2246,2276,2300,2335,2376,2395,2437,2465,2503,2536,2575,2619,2661,2701,2735,2805,2851,2913,2953,3003,3037,3066,3095,3147,3180,3214,3245,3264,3284,3324,3358,3375,3391,3430,3457,3473,3502,3535,3562,3580,3600,3614,3646,3683,3710,3738,3782,3809,3829,3846,3899,3932,3952,3978,4022,4058,4106,4141,4191,4238,4316,4364
Nuble,Chile,-36.7226,-71.7622,deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,5,6,6,6,7,7,8,8,10,11,12,13,13,13,13,13,14,14,14,14,14,14,14,14,16,16,17,17,17,17,18,18,18,18,19,19,20,20,20,20,21,21,21,21,21,21,21,22,22,22,22,22,23,23,23,23,24,24,24,24,18,18,18,20,20,20,22,22,22,22,24,24,25,27,28,28,28,29,30,31,31,32,32,32,32,33,33,33,33,33,33,35,36,37,38,40,40,40,40,40,52,53,53,54,54,54,56,59,60,60,60,60,60,61,62,62,62,63,63,63,65,68,69,69,69,69,69,70,71,73,73,73,73,73,74,75,75,75,75,75,75,76,77,80,80,80,80,80,82,83,84
Magallanes,Chile,-53.1548,-70.9113,confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,4,6,8,13,19,22,26,39,39,63,99,114,156,172,190,221,240,266,286,331,377,396,415,429,444,467,501,522,553,566,593,605,615,624,655,668,671,693,714,725,726,752,777,795,809,818,836,867,881,893,901,910,921,935,937,952,961,971,972,977,987,992,997,1010,1016,1031,1037,1040,1047,1054,1056,1056,1060,1063,1069,1072,1081,1082,1088,1088,1089,1102,1107,1123,1153,1185,1210,1284,1293,1302,1315,1335,1352,1363,1363,1385,1397,1423,1435,1440,1452,1461,1465,1476,1479,1486,1501,1504,1507,1520,1533,1545,1555,1563,1578,1587,1589,1592,1600,1606,1609,1612,1620,1627,1631,1634,1643,1657,1683,1687,1743,1762,1782,1806,1829,1865,1891,1934,1942,1992,2018,2073,2109,2128,2146,2196,2250,2317,2339,2407,2387,2451,2541,2612,2727,2847,2943,3004,3149,3207,3313,3417,3530,3643,3775,3891,4000,4206
Magallanes,Chile,-53.1548,-70.9113,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,1294,1307,1326,1340,1355,1371,1376,1396,1416,1426,1434,1430,1448,1451,1458,1467,1468,1466,1483,1490,1494,1503,1520,1529,1539,1544,1555,1564,1568,1570,1599,1608,1617,1623,1628,1650,1664,1673,1685,1703,1734,1752,1771,1788,1815,1840,1865,1895,1927,1982,1949,1972,2010,2051,2085,2117,2181,2237,2286,2330,2393,2454,2493,2607,2696,2803,2920,3000
Magallanes,Chile,-53.1548,-70.9113,deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3,3,4,5,6,6,6,6,6,6,6,7,7,7,8,8,9,10,10,11,11,11,11,11,11,11,11,11,11,11,13,14,14,16,16,16,16,16,16,17,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,18,18,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32,32,32,34,34,34,35,35,38,38,39,40,40,43,44,45
Los Rios,Chile,-39.9743,-72.6675,confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4,6,11,14,22,27,40,47,58,64,68,78,89,99,104,109,114,118,124,130,135,138,148,150,153,154,156,157,162,167,171,173,174,177,178,180,180,182,189,189,196,198,199,199,200,202,203,206,206,208,211,212,214,219,219,220,224,229,247,258,262,274,290,297,304,309,318,330,345,356,363,368,372,379,390,400,417,425,446,452,462,479,487,497,529,533,555,567,579,589,610,621,625,629,641,652,659,678,689,701,706,708,713,720,724,731,735,740,753,758,765,766,769,777,781,796,820,825,833,843,847,848,855,859,867,875,882,887,891,898,904,905,911,919,923,928,933,937,951,955,968,981,987,996,1002,1005,1011,1013,1015,1017,1021,1029,1039,1056,1061,1065,1068,1079,1085,1090,1097,1114,1124,1128,1155,1166,1181
Los Rios,Chile,-39.9743,-72.6675,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,594,606,614,618,633,645,650,659,674,678,689,694,702,709,717,718,716,722,728,733,739,751,756,758,766,774,783,793,812,824,829,829,839,843,849,852,856,860,868,882,884,887,892,903,906,911,921,931,934,938,941,951,959,974,977,981,995,1003,1006,1008,1015,1019,1027,1032,1039,1047,1056,1063
Los Rios,Chile,-39.9743,-72.6675,deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
