province,country,latitude,longitude,category,utc_20200303,utc_20200304,utc_20200305,utc_20200306,utc_20200307,utc_20200308,utc_20200309,utc_20200310,utc_20200311,utc_20200312,utc_20200313,utc_20200314,utc_20200315,utc_20200316,utc_20200317,utc_20200318,utc_20200319,utc_20200320,utc_20200321,utc_20200322,utc_20200323,utc_20200324,utc_20200325,utc_20200326,utc_20200327,utc_20200328,utc_20200329,utc_20200330,utc_20200331,utc_20200401,utc_20200402,utc_20200403,utc_20200404,utc_20200405,utc_20200406,utc_20200407,utc_20200408,utc_20200409,utc_20200410,utc_20200411,utc_20200412,utc_20200413,utc_20200414,utc_20200415,utc_20200416,utc_20200417,utc_20200418,utc_20200419,utc_20200420,utc_20200421,utc_20200422,utc_20200423,utc_20200424,utc_20200425,utc_20200426,utc_20200427,utc_20200428,utc_20200429,utc_20200430,utc_20200501,utc_20200502,utc_20200503,utc_20200504,utc_20200505,utc_20200506,utc_20200507,utc_20200508,utc_20200509,utc_20200510,utc_20200511,utc_20200512,utc_20200513,utc_20200514,utc_20200515,utc_20200516,utc_20200517,utc_20200518,utc_20200519,utc_20200520,utc_20200521,utc_20200522,utc_20200523,utc_20200524,utc_20200525,utc_20200526,utc_20200527,utc_20200528,utc_20200529,utc_20200530,utc_20200531,utc_20200601,utc_20200602,utc_20200603,utc_20200604,utc_20200605,utc_20200606,utc_20200607,utc_20200608,utc_20200609,utc_20200610,utc_20200611,utc_20200612,utc_20200613,utc_20200614,utc_20200615,utc_20200616,utc_20200617,utc_20200618,utc_20200619,utc_20200620,utc_20200621,utc_20200622,utc_20200623,utc_20200624,utc_20200625,utc_20200626,utc_20200627,utc_20200628,utc_20200629,utc_20200630,utc_20200701,utc_20200702,utc_20200703,utc_20200704,utc_20200705,utc_20200706,utc_20200707,utc_20200708,utc_20200709,utc_20200710,utc_20200711,utc_20200712,utc_20200713,utc_20200714,utc_20200715,utc_20200716,utc_20200717,utc_20200718,utc_20200719,utc_20200720,utc_20200721,utc_20200722,utc_20200723,utc_20200724,utc_20200725,utc_20200726,utc_20200727,utc_20200728,utc_20200729,utc_20200730,utc_20200731,utc_20200801,utc_20200802,utc_20200803,utc_20200804,utc_20200805,utc_20200806,utc_20200807,utc_20200808,utc_20200809,utc_20200810,utc_20200811,utc_20200812,utc_20200813,utc_20200814,utc_20200815,utc_20200816,utc_20200817,utc_20200818,utc_20200819,utc_20200820,utc_20200821,utc_20200822,utc_20200823,utc_20200824,utc_20200825,utc_20200826,utc_20200827,utc_20200828,utc_20200829,utc_20200830,utc_20200831,utc_20200901,utc_20200902,utc_20200903,utc_20200904,utc_20200905
Bio Bio,Chile,-37.4464,-72.1416,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4523,4760,4976,5196,5395,5603,5829,5977,6172,6386,6593,6762,6913,7059,7185,7327,7481,7632,7765,7884,7998,8133,8285,8444,8577,8695,8826,8941,9093,9264,9415,9594,9743,9896,10052,10181,10368,10557,10721,10893,11076,11207,11337,11503,11644,11784,11926,12057,12220,12374,12560,12762,12941,13110,13319,13452,13590,13799,13958,14144,14313,14528,14672,14869,15137,15364,15566,15790,16013
Bio Bio,Chile,-37.4464,-72.1416,deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,5,5,5,5,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,11,11,11,11,11,11,13,13,13,11,11,11,11,12,14,16,18,19,19,25,28,31,32,34,35,35,40,42,45,46,50,50,50,50,58,59,61,64,64,64,65,67,68,72,73,73,75,80,82,95,95,96,99,100,102,103,103,104,105,106,107,111,114,119,120,120,124,125,127,131,132,135,139,140,143,145,152,154,156,157,160,161,164,168,170,172,180,188,190,191,199,201,204,206,211,213,215,222,229,232
Antofagasta,Chile,-23.8369,-69.2878,confirmed,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,10,11,11,13,19,20,21,25,27,35,35,39,47,54,55,60,68,69,77,92,110,117,138,149,155,176,192,211,226,249,263,291,326,340,366,391,443,457,481,514,546,589,679,740,760,811,855,895,923,947,978,1014,1109,1216,1277,1331,1429,1505,1589,1648,1731,1778,1841,1897,1947,2015,2063,2137,2248,2318,2429,2510,2585,2649,2716,2862,2924,3033,3154,3245,3402,3559,3753,3885,4038,4286,4556,4643,5241,5528,5828,6215,6461,6708,6991,7227,7515,7742,8027,8308,8625,8829,9083,9285,9570,9823,10119,10355,10594,10825,11077,11267,11580,11799,12034,12224,12389,12500,12716,12907,13109,13226,13309,13482,13648,13807,13939,14093,14244,14371,14510,14586,14754,14884,15028,15184,15279,15446,15578,15711,15871,16005,16155,16239,16323,16434,16565,16669,16794,16906,16970,17044,17114,17249,17333,17405,17539,17597,17683,17784,17857,17962,18069,18130,18192,18255,18344,18415,18499
Antofagasta,Chile,-23.8369,-69.2878,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6616,6907,7176,7375,7629,7861,8113,8298,8526,8782,9008,9241,9467,9713,9924,10157,10392,10662,10844,11068,11281,11469,11692,11870,12025,12194,12372,12517,12681,12844,13013,13141,13255,13399,13538,13669,13826,13959,14073,14188,14312,14424,14527,14674,14811,14931,15053,15215,15363,15475,15616,15739,15854,15946,16066,16169,16254,16367,16469,16553,16654,16763,16846,16903,16985,17075,17139,17224,17320
Antofagasta,Chile,-23.8369,-69.2878,deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,4,4,4,5,7,7,7,7,7,7,7,9,10,10,10,10,11,11,12,12,13,14,16,17,17,17,21,21,21,23,25,28,28,29,31,32,34,36,38,42,47,44,45,45,56,57,65,67,72,72,72,81,87,93,94,100,100,100,113,122,128,142,147,147,147,147,163,171,174,183,183,183,197,203,216,218,224,225,228,232,236,271,279,280,293,293,298,305,310,316,328,332,334,335,341,347,352,353,358,358,361,367,372,376,378,381,387,388,392,394,399,403,407,410,411,415,416,417,419,422,426,428,432,437,439,442,444,446,446,448,450,453
OHiggins,Chile,-34.5755,-71.0022,confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,7,8,8,9,11,14,16,20,21,21,23,26,32,33,38,41,42,42,43,44,44,45,46,48,53,54,54,55,55,55,56,57,59,76,81,85,92,94,97,104,108,109,120,125,131,136,145,151,167,182,195,216,224,248,295,323,329,366,418,442,455,465,492,518,554,588,654,691,705,745,756,785,813,843,931,967,1016,1111,1183,1255,1317,1442,1552,1629,1788,1927,2012,2221,2797,3017,3311,3613,3952,4186,4361,4610,4868,5136,5322,5606,5844,6081,6245,6445,6625,6859,7068,7255,7468,7567,7761,8069,8210,8338,8487,8639,8755,8987,9163,9249,9366,9472,9559,9688,9817,9979,10083,10194,10289,10328,10415,10519,10611,10699,10791,10877,10918,10985,11088,11220,11440,11540,11621,11728,11843,11950,12035,12097,12185,12232,12300,12365,12464,12547,12606,12678,12805,12881,12974,13043,13136,13238,13321,13409,13497,13582,13697,13797,13903
OHiggins,Chile,-34.5755,-71.0022,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3716,3973,4197,4447,4675,4921,5183,5413,5679,5913,6156,6377,6517,6722,6887,7061,7267,7468,7602,7776,7916,8022,8209,8365,8493,8682,8817,8935,9061,9192,9314,9426,9521,9648,9764,9843,9975,10047,10120,10204,10289,10366,10421,10524,10621,10707,10801,10896,11020,11097,11224,11334,11415,11498,11601,11676,11750,11849,11949,12002,12064,12143,12212,12279,12369,12454,12522,12638,12721
OHiggins,Chile,-34.5755,-71.0022,deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,6,7,7,7,8,11,11,13,13,14,14,14,16,18,18,18,20,21,22,25,20,22,23,26,28,30,32,33,35,35,41,44,46,50,52,52,52,59,63,65,68,69,69,69,69,77,83,89,92,92,92,104,109,113,119,123,123,123,134,139,164,172,173,183,183,183,197,201,209,218,220,220,220,228,236,238,244,252,252,252,260,263,265,270,280,281,281,290,295,299,301,304,304,304,310,313,316,320,323,324,324,329,331,335,338,340,340,340,343,347,349
Maule,Chile,-35.5972,-71.4887,confirmed,1,2,2,2,2,3,4,5,7,7,8,9,9,9,9,11,14,14,15,25,28,29,30,31,32,37,42,54,62,71,82,89,97,103,108,108,119,128,131,134,138,141,142,152,167,223,276,302,304,316,328,333,349,350,354,363,384,392,393,394,396,397,399,408,408,414,425,432,441,454,466,485,519,540,551,573,602,640,680,731,782,823,892,953,1013,1066,1120,1180,1256,1297,1341,1381,1595,1732,1834,1969,2109,2176,2289,2440,2560,2691,2844,2997,3091,3189,3386,3592,3807,3958,4210,4355,4504,4657,4832,5013,5182,5322,5463,5549,5717,5820,5974,6144,6265,6378,6495,6581,6700,6833,6946,7053,7156,7241,7341,7462,7603,7683,7817,7884,8009,8085,8200,8312,8452,8574,8673,8718,8830,8943,9042,9103,9205,9278,9367,9428,9524,9639,9755,9852,9919,9983,10058,10095,10194,10292,10382,10452,10526,10601,10724,10824,10928,11025,11100,11171,11267,11352,11442,11543,11656,11735,11806,11882,12005,12179,12287
Maule,Chile,-35.5972,-71.4887,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,4182,4362,4504,4658,4817,4966,5077,5226,5363,5496,5615,5724,5880,5988,6083,6221,6371,6446,6560,6658,6749,6863,6961,7051,7160,7275,7379,7489,7623,7725,7814,7902,8004,8103,8193,8308,8413,8553,8635,8724,8819,8877,8970,9050,9065,9148,9239,9320,9404,9514,9609,9696,9791,9900,9965,10016,10118,10230,10317,10399,10463,10526,10596,10694,10787,10891,10992,11080
